0000;3
0001;3
0002;3
0003;3
0004;3
0005;3
0006;3
0007;3
0008;3
0009;3
000A;2
000B;3
000C;3
000D;1
000E;3
000F;3
0010;3
0011;3
0012;3
0013;3
0014;3
0015;3
0016;3
0017;3
0018;3
0019;3
001A;3
001B;3
001C;3
001D;3
001E;3
001F;3
007F;3
0080;3
0081;3
0082;3
0083;3
0084;3
0085;3
0086;3
0087;3
0088;3
0089;3
008A;3
008B;3
008C;3
008D;3
008E;3
008F;3
0090;3
0091;3
0092;3
0093;3
0094;3
0095;3
0096;3
0097;3
0098;3
0099;3
009A;3
009B;3
009C;3
009D;3
009E;3
009F;3
00AD;3
0300;4
0301;4
0302;4
0303;4
0304;4
0305;4
0306;4
0307;4
0308;4
0309;4
030A;4
030B;4
030C;4
030D;4
030E;4
030F;4
0310;4
0311;4
0312;4
0313;4
0314;4
0315;4
0316;4
0317;4
0318;4
0319;4
031A;4
031B;4
031C;4
031D;4
031E;4
031F;4
0320;4
0321;4
0322;4
0323;4
0324;4
0325;4
0326;4
0327;4
0328;4
0329;4
032A;4
032B;4
032C;4
032D;4
032E;4
032F;4
0330;4
0331;4
0332;4
0333;4
0334;4
0335;4
0336;4
0337;4
0338;4
0339;4
033A;4
033B;4
033C;4
033D;4
033E;4
033F;4
0340;4
0341;4
0342;4
0343;4
0344;4
0345;4
0346;4
0347;4
0348;4
0349;4
034A;4
034B;4
034C;4
034D;4
034E;4
034F;4
0350;4
0351;4
0352;4
0353;4
0354;4
0355;4
0356;4
0357;4
0358;4
0359;4
035A;4
035B;4
035C;4
035D;4
035E;4
035F;4
0360;4
0361;4
0362;4
0363;4
0364;4
0365;4
0366;4
0367;4
0368;4
0369;4
036A;4
036B;4
036C;4
036D;4
036E;4
036F;4
0483;4
0484;4
0485;4
0486;4
0487;4
0488;4
0489;4
0591;4
0592;4
0593;4
0594;4
0595;4
0596;4
0597;4
0598;4
0599;4
059A;4
059B;4
059C;4
059D;4
059E;4
059F;4
05A0;4
05A1;4
05A2;4
05A3;4
05A4;4
05A5;4
05A6;4
05A7;4
05A8;4
05A9;4
05AA;4
05AB;4
05AC;4
05AD;4
05AE;4
05AF;4
05B0;4
05B1;4
05B2;4
05B3;4
05B4;4
05B5;4
05B6;4
05B7;4
05B8;4
05B9;4
05BA;4
05BB;4
05BC;4
05BD;4
05BF;4
05C1;4
05C2;4
05C4;4
05C5;4
05C7;4
0600;7
0601;7
0602;7
0603;7
0604;7
0605;7
0610;4
0611;4
0612;4
0613;4
0614;4
0615;4
0616;4
0617;4
0618;4
0619;4
061A;4
061C;3
064B;4
064C;4
064D;4
064E;4
064F;4
0650;4
0651;4
0652;4
0653;4
0654;4
0655;4
0656;4
0657;4
0658;4
0659;4
065A;4
065B;4
065C;4
065D;4
065E;4
065F;4
0670;4
06D6;4
06D7;4
06D8;4
06D9;4
06DA;4
06DB;4
06DC;4
06DD;7
06DF;4
06E0;4
06E1;4
06E2;4
06E3;4
06E4;4
06E7;4
06E8;4
06EA;4
06EB;4
06EC;4
06ED;4
070F;7
0711;4
0730;4
0731;4
0732;4
0733;4
0734;4
0735;4
0736;4
0737;4
0738;4
0739;4
073A;4
073B;4
073C;4
073D;4
073E;4
073F;4
0740;4
0741;4
0742;4
0743;4
0744;4
0745;4
0746;4
0747;4
0748;4
0749;4
074A;4
07A6;4
07A7;4
07A8;4
07A9;4
07AA;4
07AB;4
07AC;4
07AD;4
07AE;4
07AF;4
07B0;4
07EB;4
07EC;4
07ED;4
07EE;4
07EF;4
07F0;4
07F1;4
07F2;4
07F3;4
07FD;4
0816;4
0817;4
0818;4
0819;4
081B;4
081C;4
081D;4
081E;4
081F;4
0820;4
0821;4
0822;4
0823;4
0825;4
0826;4
0827;4
0829;4
082A;4
082B;4
082C;4
082D;4
0859;4
085A;4
085B;4
0890;7
0891;7
0897;4
0898;4
0899;4
089A;4
089B;4
089C;4
089D;4
089E;4
089F;4
08CA;4
08CB;4
08CC;4
08CD;4
08CE;4
08CF;4
08D0;4
08D1;4
08D2;4
08D3;4
08D4;4
08D5;4
08D6;4
08D7;4
08D8;4
08D9;4
08DA;4
08DB;4
08DC;4
08DD;4
08DE;4
08DF;4
08E0;4
08E1;4
08E2;7
08E3;4
08E4;4
08E5;4
08E6;4
08E7;4
08E8;4
08E9;4
08EA;4
08EB;4
08EC;4
08ED;4
08EE;4
08EF;4
08F0;4
08F1;4
08F2;4
08F3;4
08F4;4
08F5;4
08F6;4
08F7;4
08F8;4
08F9;4
08FA;4
08FB;4
08FC;4
08FD;4
08FE;4
08FF;4
0900;4
0901;4
0902;4
0903;8
093A;4
093B;8
093C;4
093E;8
093F;8
0940;8
0941;4
0942;4
0943;4
0944;4
0945;4
0946;4
0947;4
0948;4
0949;8
094A;8
094B;8
094C;8
094D;4
094E;8
094F;8
0951;4
0952;4
0953;4
0954;4
0955;4
0956;4
0957;4
0962;4
0963;4
0981;4
0982;8
0983;8
09BC;4
09BE;4
09BF;8
09C0;8
09C1;4
09C2;4
09C3;4
09C4;4
09C7;8
09C8;8
09CB;8
09CC;8
09CD;4
09D7;4
09E2;4
09E3;4
09FE;4
0A01;4
0A02;4
0A03;8
0A3C;4
0A3E;8
0A3F;8
0A40;8
0A41;4
0A42;4
0A47;4
0A48;4
0A4B;4
0A4C;4
0A4D;4
0A51;4
0A70;4
0A71;4
0A75;4
0A81;4
0A82;4
0A83;8
0ABC;4
0ABE;8
0ABF;8
0AC0;8
0AC1;4
0AC2;4
0AC3;4
0AC4;4
0AC5;4
0AC7;4
0AC8;4
0AC9;8
0ACB;8
0ACC;8
0ACD;4
0AE2;4
0AE3;4
0AFA;4
0AFB;4
0AFC;4
0AFD;4
0AFE;4
0AFF;4
0B01;4
0B02;8
0B03;8
0B3C;4
0B3E;4
0B3F;4
0B40;8
0B41;4
0B42;4
0B43;4
0B44;4
0B47;8
0B48;8
0B4B;8
0B4C;8
0B4D;4
0B55;4
0B56;4
0B57;4
0B62;4
0B63;4
0B82;4
0BBE;4
0BBF;8
0BC0;4
0BC1;8
0BC2;8
0BC6;8
0BC7;8
0BC8;8
0BCA;8
0BCB;8
0BCC;8
0BCD;4
0BD7;4
0C00;4
0C01;8
0C02;8
0C03;8
0C04;4
0C3C;4
0C3E;4
0C3F;4
0C40;4
0C41;8
0C42;8
0C43;8
0C44;8
0C46;4
0C47;4
0C48;4
0C4A;4
0C4B;4
0C4C;4
0C4D;4
0C55;4
0C56;4
0C62;4
0C63;4
0C81;4
0C82;8
0C83;8
0CBC;4
0CBE;8
0CBF;4
0CC0;4
0CC1;8
0CC2;4
0CC3;8
0CC4;8
0CC6;4
0CC7;4
0CC8;4
0CCA;4
0CCB;4
0CCC;4
0CCD;4
0CD5;4
0CD6;4
0CE2;4
0CE3;4
0CF3;8
0D00;4
0D01;4
0D02;8
0D03;8
0D3B;4
0D3C;4
0D3E;4
0D3F;8
0D40;8
0D41;4
0D42;4
0D43;4
0D44;4
0D46;8
0D47;8
0D48;8
0D4A;8
0D4B;8
0D4C;8
0D4D;4
0D4E;7
0D57;4
0D62;4
0D63;4
0D81;4
0D82;8
0D83;8
0DCA;4
0DCF;4
0DD0;8
0DD1;8
0DD2;4
0DD3;4
0DD4;4
0DD6;4
0DD8;8
0DD9;8
0DDA;8
0DDB;8
0DDC;8
0DDD;8
0DDE;8
0DDF;4
0DF2;8
0DF3;8
0E31;4
0E33;8
0E34;4
0E35;4
0E36;4
0E37;4
0E38;4
0E39;4
0E3A;4
0E47;4
0E48;4
0E49;4
0E4A;4
0E4B;4
0E4C;4
0E4D;4
0E4E;4
0EB1;4
0EB3;8
0EB4;4
0EB5;4
0EB6;4
0EB7;4
0EB8;4
0EB9;4
0EBA;4
0EBB;4
0EBC;4
0EC8;4
0EC9;4
0ECA;4
0ECB;4
0ECC;4
0ECD;4
0ECE;4
0F18;4
0F19;4
0F35;4
0F37;4
0F39;4
0F3E;8
0F3F;8
0F71;4
0F72;4
0F73;4
0F74;4
0F75;4
0F76;4
0F77;4
0F78;4
0F79;4
0F7A;4
0F7B;4
0F7C;4
0F7D;4
0F7E;4
0F7F;8
0F80;4
0F81;4
0F82;4
0F83;4
0F84;4
0F86;4
0F87;4
0F8D;4
0F8E;4
0F8F;4
0F90;4
0F91;4
0F92;4
0F93;4
0F94;4
0F95;4
0F96;4
0F97;4
0F99;4
0F9A;4
0F9B;4
0F9C;4
0F9D;4
0F9E;4
0F9F;4
0FA0;4
0FA1;4
0FA2;4
0FA3;4
0FA4;4
0FA5;4
0FA6;4
0FA7;4
0FA8;4
0FA9;4
0FAA;4
0FAB;4
0FAC;4
0FAD;4
0FAE;4
0FAF;4
0FB0;4
0FB1;4
0FB2;4
0FB3;4
0FB4;4
0FB5;4
0FB6;4
0FB7;4
0FB8;4
0FB9;4
0FBA;4
0FBB;4
0FBC;4
0FC6;4
102D;4
102E;4
102F;4
1030;4
1031;8
1032;4
1033;4
1034;4
1035;4
1036;4
1037;4
1039;4
103A;4
103B;8
103C;8
103D;4
103E;4
1056;8
1057;8
1058;4
1059;4
105E;4
105F;4
1060;4
1071;4
1072;4
1073;4
1074;4
1082;4
1084;8
1085;4
1086;4
108D;4
109D;4
1100;9
1101;9
1102;9
1103;9
1104;9
1105;9
1106;9
1107;9
1108;9
1109;9
110A;9
110B;9
110C;9
110D;9
110E;9
110F;9
1110;9
1111;9
1112;9
1113;9
1114;9
1115;9
1116;9
1117;9
1118;9
1119;9
111A;9
111B;9
111C;9
111D;9
111E;9
111F;9
1120;9
1121;9
1122;9
1123;9
1124;9
1125;9
1126;9
1127;9
1128;9
1129;9
112A;9
112B;9
112C;9
112D;9
112E;9
112F;9
1130;9
1131;9
1132;9
1133;9
1134;9
1135;9
1136;9
