0000;1
0001;1
0002;1
0003;1
0004;1
0005;1
0006;1
0007;1
0008;1
0009;2
000A;3
000B;4
000C;5
000D;6
000E;1
000F;1
0010;1
0011;1
0012;1
0013;1
0014;1
0015;1
0016;1
0017;1
0018;1
0019;1
001A;1
001B;1
001C;1
001D;1
001E;1
001F;1
0020;7
0021;8
0022;9
0023;10
0024;8520
0025;11
0026;12
0027;13
0028;14
0029;15
002A;16
002B;17
002C;18
002D;19
002E;20
002F;21
0030;8577
0031;8588
0032;8666
0033;8712
0034;8743
0035;8769
0036;8787
0037;8803
0038;8820
0039;8836
003A;22
003B;23
003C;24
003D;25
003E;26
003F;27
0040;28
0041;9361
0042;9489
0043;9528
0044;9585
0045;9662
0046;9767
0047;9807
0048;9870
0049;9932
004A;10013
004B;10042
004C;10100
004D;10198
004E;10255
004F;10327
0050;10466
0051;10515
0052;10538
0053;10625
0054;10711
0055;10778
0056;10894
0057;10939
0058;10976
0059;11007
005A;11050
005B;29
005C;30
005D;31
005E;32
005F;33
0060;34
0061;9355
0062;9483
0063;9522
0064;9579
0065;9656
0066;9761
0067;9801
0068;9864
0069;9926
006A;10008
006B;10036
006C;10094
006D;10192
006E;10249
006F;10321
0070;10460
0071;10510
0072;10532
0073;10619
0074;10705
0075;10772
0076;10888
0077;10933
0078;10970
0079;11002
007A;11044
007B;35
007C;36
007D;37
007E;38
007F;1
0080;1
0081;1
0082;1
0083;1
0084;1
0085;39
0086;1
0087;1
0088;1
0089;1
008A;1
008B;1
008C;1
008D;1
008E;1
008F;1
0090;1
0091;1
0092;1
0093;1
0094;1
0095;1
0096;1
0097;1
0098;1
0099;1
009A;1
009B;1
009C;1
009D;1
009E;1
009F;1
00A0;40
00A1;41
00A2;8518
00A3;8523
00A4;8517
00A5;8525
00A6;42
00A7;43
00A8;44
00A9;45
00AA;9366
00AB;46
00AC;47
00AD;1
00AE;48
00AF;49
00B0;50
00B1;51
00B2;8674
00B3;8720
00B4;52
00B5;11387
00B6;53
00B7;54
00B8;55
00B9;8596
00BA;10332
00BB;56
00BC;8630
00BD;8616
00BE;8731
00BF;57
00C0;9372
00C1;9370
00C2;9384
00C3;9406
00C4;9401
00C5;9396
00C6;9438
00C7;9547
00C8;9673
00C9;9671
00CA;9677
00CB;9689
00CC;9944
00CD;9942
00CE;9948
00CF;9952
00D0;9609
00D1;10270
00D2;10338
00D3;10336
00D4;10342
00D5;10362
00D6;10355
00D7;58
00D8;10374
00D9;10789
00DA;10787
00DB;10793
00DC;10800
00DD;11015
00DE;11101
00DF;10669
00E0;9371
00E1;9369
00E2;9383
00E3;9405
00E4;9399
00E5;9395
00E6;9437
00E7;9545
00E8;9672
00E9;9670
00EA;9676
00EB;9688
00EC;9943
00ED;9941
00EE;9947
00EF;9951
00F0;9608
00F1;10269
00F2;10337
00F3;10335
00F4;10341
00F5;10361
00F6;10353
00F7;59
00F8;10373
00F9;10788
00FA;10786
00FB;10792
00FC;10798
00FD;11014
00FE;11100
00FF;11021
0100;9416
0101;9415
0102;9374
0103;9373
0104;9413
0105;9411
0106;9538
0107;9537
0108;9540
0109;9539
010A;9544
010B;9543
010C;9542
010D;9541
010E;9595
010F;9594
0110;9601
0111;9600
0112;9701
0113;9700
0114;9675
0115;9674
0116;9693
0117;9692
0118;9699
0119;9698
011A;9687
011B;9686
011C;9819
011D;9818
011E;9817
011F;9816
0120;9823
0121;9822
0122;9825
0123;9824
0124;9879
0125;9878
0126;9889
0127;9888
0128;9956
0129;9955
012A;9961
012B;9960
012C;9946
012D;9945
012E;9959
012F;9958
0130;9957
0131;9986
0132;9979
0133;9978
0134;10022
0135;10021
0136;10055
0137;10054
0138;10531
0139;10110
013A;10109
013B;10114
013C;10113
013D;10112
013E;10111
013F;10126
0140;10125
0141;10116
